Time (s),CH1 Voltage (V),CH2 Voltage (V),CH3 Voltage (V)
0.0016499999999999987,2.498667,-0.004693333,8.514266
0.0017000000000000001,2.5528,-0.003733333,8.512133
0.0017500000000000016,2.5168,-0.01184,8.540266
0.0017999999999999995,2.575466,-0.003733333,8.503332
0.001850000000000001,2.498667,-0.01088,8.529466
0.001899999999999999,2.498667,-0.004693333,8.533866
0.0019500000000000003,2.557333,-0.01421333,8.499065
0.0019999999999999983,2.5664,-0.004693333,8.503332
0.0020499999999999997,2.507733,-0.01184,8.535999
0.002100000000000001,2.5528,-0.00328,8.555599
0.002149999999999999,2.498667,-0.01184,8.516399
0.0022000000000000006,2.5528,-0.005173333,8.512133
0.0022499999999999985,2.512266,-0.01421333,8.553332
0.0023,2.5032,-0.01184,8.540266
0.0023500000000000014,2.5664,-0.005173333,8.501199
