Time (s),CH2 Voltage (V),CH3 Voltage (V)
-0.024400000000000005,0.08365333,0.0576
-0.0242,0.08306,0.05878
-0.024000000000000007,0.08362666,0.05883333
-0.0238,0.08303333,0.05792666
-0.023599999999999996,0.08361333,0.05852
-0.023400000000000004,0.08296666,0.05742
-0.0232,0.08292666,0.0579
-0.023000000000000007,0.08353332,0.05709333
-0.0228,0.08350666,0.0579
-0.022599999999999995,0.08285999,0.05667333
-0.022400000000000003,0.08292666,0.05708
-0.022199999999999998,0.08353332,0.05608666
-0.022000000000000006,0.08353332,0.05723333
-0.0218,0.08292666,0.05630666
-0.021600000000000008,0.08295333,0.05675333
-0.021400000000000002,0.08358666,0.05562666
-0.021199999999999997,0.08358666,0.05574666
-0.021000000000000005,0.08296666,0.05765333
-0.0208,0.08362666,0.05769333
-0.020600000000000007,0.08295333,0.05680666
-0.0204,0.08301999,0.05692
-0.020199999999999996,0.08366666,0.05854666
-0.020000000000000004,0.08301999,0.05878
-0.019799999999999998,0.08363999,0.05796666
-0.019600000000000006,0.08299333,0.05796666
-0.0194,0.08365333,0.05918666
-0.019199999999999995,0.08359999,0.05872666
-0.019000000000000003,0.08296666,0.05957333
-0.018799999999999997,0.08357333,0.05872666
-0.018600000000000005,0.08297999,0.05951333
-0.0184,0.08357333,0.05906666
-0.018200000000000008,0.08292666,0.05977333
-0.018000000000000002,0.08357333,0.05910666
-0.017799999999999996,0.0829,0.06034666
-0.017600000000000005,0.08284666,0.0599
-0.0174,0.08354666,0.06105333
-0.017200000000000007,0.08287333,0.06049333
-0.017,0.08352,0.06138
-0.016799999999999995,0.08285999,0.06092
-0.016600000000000004,0.08353332,0.06158666
-0.016399999999999998,0.08292666,0.06101333
-0.016200000000000006,0.08350666,0.06229333
-0.016,0.08287333,0.06245333
-0.015799999999999995,0.08350666,0.06134
-0.015600000000000003,0.08291332,0.06176
-0.015399999999999997,0.08347999,0.06038666
-0.015200000000000005,0.08288666,0.06107999
-0.015,0.08356,0.06024
-0.014800000000000008,0.08284666,0.06075333
-0.014600000000000002,0.08347999,0.05826666
-0.014399999999999996,0.08346666,0.05874
-0.014200000000000004,0.08287333,0.05788
-0.013999999999999999,0.08349333,0.05845333
-0.013800000000000007,0.08281999,0.05600666
-0.013600000000000001,0.08284666,0.05650666
-0.013399999999999995,0.08346666,0.05518666
-0.013200000000000003,0.08350666,0.05527333
-0.012999999999999998,0.08288666,0.05625333
-0.012800000000000006,0.08350666,0.05572
-0.0126,0.08288666,0.05653333
-0.012400000000000008,0.08287333,0.05568
-0.012200000000000003,0.08359999,0.05655999
-0.011999999999999997,0.08354666,0.05607333
-0.011800000000000005,0.0829,0.05770666
-0.0116,0.08356,0.05766666
-0.011400000000000007,0.08285999,0.05655999
-0.011200000000000002,0.08349333,0.05650666
-0.010999999999999996,0.08291332,0.05830666
-0.010800000000000004,0.08291332,0.05829333
-0.010599999999999998,0.08347999,0.05706666
-0.010400000000000006,0.08350666,0.05697333
-0.0102,0.08292666,0.05859333
-0.009999999999999995,0.08294,0.05819333
-0.009800000000000003,0.08356,0.05934
-0.009599999999999997,0.08297999,0.05881999
-0.009400000000000006,0.08363999,0.05782666
-0.0092,0.08304666,0.05804666
-0.009000000000000008,0.08369333,0.05902666
-0.008800000000000002,0.08373333,0.05874
-0.008599999999999997,0.08309999,0.05735333
-0.008400000000000005,0.08299333,0.05788
-0.008199999999999999,0.08368,0.05671333
-0.008000000000000007,0.08363999,0.05731333
-0.007800000000000001,0.08304666,0.0564
-0.007599999999999996,0.08359999,0.05703999
-0.007400000000000004,0.08294,0.05559999
-0.007199999999999998,0.08352,0.05542
-0.007000000000000006,0.08284666,0.05735333
-0.0068000000000000005,0.08343999,0.05688666
-0.006599999999999995,0.08283333,0.05798
-0.006400000000000003,0.08279333,0.05686
-0.006199999999999997,0.08345333,0.05816666
-0.006000000000000005,0.08284666,0.05776
-0.0058,0.08347999,0.06003333
-0.005600000000000008,0.08292666,0.06000666
-0.005400000000000002,0.08358666,0.0587
-0.005199999999999996,0.08301999,0.05875333
-0.0050000000000000044,0.08368,0.0607
-0.004799999999999999,0.08312666,0.06073999
-0.004600000000000007,0.08378666,0.05952666
-0.004400000000000001,0.08319332,0.05999333
-0.004199999999999995,0.08387999,0.05926
-0.0040000000000000036,0.08325332,0.05947333
-0.003799999999999998,0.08391999,0.06042666
-0.003600000000000006,0.08384,0.06049333
-0.0034000000000000002,0.08318,0.05914666
-0.0031999999999999945,0.08386666,0.05893333
-0.0030000000000000027,0.08313999,0.06007333
-0.002799999999999997,0.08368,0.06036
-0.002600000000000005,0.08304666,0.05913333
-0.0023999999999999994,0.08296666,0.05962666
-0.0022000000000000075,0.08358666,0.05886
-0.0020000000000000018,0.08359999,0.05999333
-0.001799999999999996,0.08296666,0.05909333
-0.0016000000000000042,0.08357333,0.05958666
-0.0013999999999999985,0.08292666,0.05878
-0.0012000000000000066,0.08357333,0.05957333
-0.0010000000000000009,0.08291332,0.05868666
-0.0007999999999999952,0.08357333,0.0592
-0.0006000000000000033,0.08296666,0.05836
