Time (s),Voltage (V),Frequency (Hz),Magnitude (dB)
-1.266,0.107,0.0,41.89236121161956
-1.264,0.1067867,0.0,41.89236121161956
-1.262,0.14448,0.0,41.89236121161956
-1.26,0.1465266,0.0,41.89236121161956
-1.258,0.1127067,0.0,41.89236121161956
-1.256,0.1161533,0.0,41.89236121161956
-1.254,0.1067867,0.0,41.89236121161956
-1.252,0.10754,0.0,41.89236121161956
-1.25,0.1457733,0.0,41.89236121161956
-1.248,0.1447,0.0,41.89236121161956
-1.246,0.1072133,0.0,41.89236121161956
-1.244,0.1067867,0.0,41.89236121161956
-1.242,0.1457733,0.0,41.89236121161956
-1.24,0.14642,0.0,41.89236121161956
-1.238,0.11346,0.0,41.89236121161956
-1.236,0.1169067,0.0,41.89236121161956
-1.234,0.10668,0.0,41.89236121161956
-1.232,0.1072133,0.0,41.89236121161956
-1.23,0.14642,0.0,41.89236121161956
-1.228,0.1451267,0.0,41.89236121161956
-1.226,0.1067867,0.0,41.89236121161956
-1.224,0.107,0.0,41.89236121161956
-1.222,0.1442667,0.0,41.89236121161956
-1.22,0.1463133,0.0,41.89236121161956
-1.218,0.1132467,0.0,41.89236121161956
-1.216,0.1166933,0.0,41.89236121161956
-1.214,0.1071067,0.0,41.89236121161956
-1.212,0.1068933,0.0,41.89236121161956
-1.21,0.1453467,0.0,41.89236121161956
-1.208,0.1454533,0.0,41.89236121161956
-1.206,0.10732,0.0,41.89236121161956
-1.204,0.1067867,0.0,41.89236121161956
-1.202,0.1466333,0.0,41.89236121161956
-1.2,0.1475,0.0,41.89236121161956
-1.198,0.1126,0.0,41.89236121161956
-1.196,0.1161533,0.0,41.89236121161956
-1.194,0.1067867,0.0,41.89236121161956
-1.192,0.1076467,0.0,41.89236121161956
-1.19,0.1440533,0.0,41.89236121161956
-1.188,0.1447,0.0,41.89236121161956
-1.186,0.10754,0.0,41.89236121161956
-1.184,0.10732,0.0,41.89236121161956
-1.182,0.1454533,0.0,41.89236121161956
-1.18,0.1467467,0.0,41.89236121161956
-1.178,0.11346,0.0,41.89236121161956
-1.176,0.1169067,0.0,41.89236121161956
-1.174,0.1067867,0.0,41.89236121161956
-1.172,0.1071067,0.0,41.89236121161956
-1.17,0.1457733,0.0,41.89236121161956
-1.168,0.1457733,0.0,41.89236121161956
-1.166,0.10732,0.0,41.89236121161956
-1.1640000000000001,0.1072133,0.0,41.89236121161956
-1.162,0.1442667,0.0,41.89236121161956
-1.1600000000000001,0.1461,0.0,41.89236121161956
-1.158,0.1132467,0.0,41.89236121161956
-1.1560000000000001,0.1165867,0.0,41.89236121161956
-1.154,0.1072133,0.0,41.89236121161956
-1.1520000000000001,0.1072133,0.0,41.89236121161956
-1.15,0.1456667,0.0,41.89236121161956
