Time (s),no_pump,pump_1552.4385nm,no_pump,pump_1551nm,pump_1556nm
8.15e-05,0.08486666,0.08681999,0.09307999,0.08637333,0.1007533
8.2e-05,0.08492,0.08602666,0.09309333,0.08637333,0.1000267
8.25e-05,0.08411333,0.08688666,0.09391332,0.08573999,0.1007667
8.3e-05,0.08486666,0.086,0.09309333,0.08568666,0.10082
8.35e-05,0.08418,0.08681999,0.09396666,0.08642666,0.1000533
8.4e-05,0.08418,0.08679333,0.09310666,0.08579332,0.09995999
8.45e-05,0.08490666,0.08601332,0.09393999,0.08644,0.1007933
8.499999999999999e-05,0.08419333,0.08604,0.09313333,0.08567332,0.09998666
8.549999999999999e-05,0.08494666,0.08681999,0.09395333,0.08635999,0.1007533
8.599999999999999e-05,0.08420666,0.08683333,0.09311999,0.08577999,0.1000133
8.65e-05,0.08497333,0.08610666,0.09395333,0.08635999,0.1007933
8.7e-05,0.08418,0.08687333,0.09385999,0.08575333,0.1006733
8.75e-05,0.08494666,0.08610666,0.09311999,0.08637333,0.09991999
8.8e-05,0.08492,0.08606666,0.09395333,0.08641332,0.09994666
8.85e-05,0.08421999,0.08683333,0.09313333,0.08572666,0.1006867
8.9e-05,0.08492,0.08680666,0.09309333,0.08642666,0.1007133
8.95e-05,0.08423333,0.08606666,0.09391332,0.08572666,0.09994666
8.999999999999999e-05,0.08495999,0.08606666,0.09313333,0.08642666,0.09995999
9.049999999999999e-05,0.08421999,0.08687333,0.09393999,0.08569999,0.1006867
9.099999999999999e-05,0.08497333,0.0869,0.09392666,0.08639999,0.10066
9.15e-05,0.08427333,0.08610666,0.09309333,0.08568666,0.09990666
9.2e-05,0.08497333,0.08681999,0.09314666,0.08637333,0.09987999
9.25e-05,0.08423333,0.08605333,0.09392666,0.08572666,0.10066
9.3e-05,0.0843,0.08605333,0.09316,0.08575333,0.09993333
9.35e-05,0.08499999,0.08683333,0.09395333,0.08641332,0.1006333
9.4e-05,0.08427333,0.08611999,0.09395333,0.08576666,0.1007
9.449999999999999e-05,0.08497333,0.08683333,0.09316,0.08641332,0.09998666
9.499999999999999e-05,0.08428666,0.08607999,0.09403332,0.08639999,0.1007133
9.549999999999999e-05,0.08499999,0.08684666,0.09317333,0.08572666,0.09998666
9.6e-05,0.08498666,0.08610666,0.09400666,0.08569999,0.09998666
9.65e-05,0.08432666,0.08683333,0.09317333,0.08641332,0.1007667
9.7e-05,0.08431333,0.08687333,0.09322666,0.08646666,0.09999999
9.75e-05,0.08499999,0.08605333,0.09400666,0.08576666,0.1007133
9.8e-05,0.08433999,0.08680666,0.09323999,0.08572666,0.1000267
9.85e-05,0.08501333,0.08606666,0.09411333,0.08642666,0.1007533
9.9e-05,0.08436666,0.08610666,0.09326666,0.08573999,0.1007133
9.949999999999999e-05,0.08506666,0.08688666,0.09411333,0.08642666,0.09997333
9.999999999999999e-05,0.08433999,0.08687333,0.09321333,0.08637333,0.1000133
0.00010049999999999999,0.08509333,0.08610666,0.09409999,0.08573999,0.1007133
0.000101,0.08517332,0.08684666,0.09407333,0.08572666,0.1007
0.0001015,0.08433999,0.08611999,0.09323999,0.08647999,0.09995999
0.000102,0.08506666,0.08692666,0.09406,0.08644,0.10066
0.0001025,0.08437999,0.08614666,0.09325333,0.08575333,0.09989332
0.000103,0.08514666,0.08685999,0.09406,0.08642666,0.10062
0.0001035,0.08437999,0.08614666,0.09326666,0.08575333,0.09990666
0.000104,0.08435333,0.08611999,0.09407333,0.08568666,0.09987999
0.00010449999999999999,0.08515999,0.08687333,0.09321333,0.08644,0.1006333
0.00010499999999999999,0.08506666,0.08607999,0.09401999,0.08644,0.1005933
0.00010549999999999999,0.08437999,0.08687333,0.09318666,0.08569999,0.09987999
0.000106,0.08515999,0.08687333,0.09326666,0.08637333,0.10062
0.0001065,0.08436666,0.08607999,0.09403332,0.08573999,0.09990666
0.000107,0.08443332,0.08684666,0.09321333,0.08569999,0.09987999
0.0001075,0.08513333,0.08607999,0.09403332,0.08635999,0.1006067
0.000108,0.08513333,0.08613332,0.09404666,0.08638666,0.1006067
0.0001085,0.08442,0.08691332,0.09325333,0.08572666,0.09990666
0.00010899999999999999,0.08514666,0.08610666,0.09325333,0.08644,0.09995999
0.00010949999999999999,0.08442,0.08688666,0.09406,0.08568666,0.1006467
0.00010999999999999999,0.08514666,0.08687333,0.09328,0.08577999,0.09997333
0.00011049999999999999,0.08444666,0.08617333,0.09411333,0.08641332,0.1007
0.000111,0.08511999,0.08611999,0.09326666,0.08641332,0.09995999
0.0001115,0.08446,0.08685999,0.09413999,0.08567332,0.1007
0.000112,0.08515999,0.08610666,0.09323999,0.08572666,0.1006733
0.0001125,0.08444666,0.08687333,0.09406,0.08638666,0.09991999
0.000113,0.08440666,0.08687333,0.09409999,0.08637333,0.09994666
0.0001135,0.08518666,0.08613332,0.09321333,0.08573999,0.1007133
0.00011399999999999999,0.08444666,0.08687333,0.09403332,0.08638666,0.09991999
0.00011449999999999999,0.08513333,0.08616,0.09326666,0.08571333,0.10066
0.00011499999999999999,0.08513333,0.08613332,0.09409999,0.08573999,0.10066
0.00011549999999999999,0.08447333,0.08691332,0.09323999,0.08630666,0.09990666
0.000116,0.08517332,0.08616,0.09403332,0.08571333,0.09987999
0.0001165,0.08446,0.08687333,0.09319999,0.08635999,0.1006333
0.000117,0.08518666,0.08688666,0.09404666,0.08641332,0.09979999
0.0001175,0.08448666,0.08614666,0.09322666,0.08569999,0.10058
0.000118,0.08451333,0.08616,0.09325333,0.08633333,0.09982666
0.0001185,0.08522666,0.08687333,0.09406,0.08561999,0.10058
0.00011899999999999999,0.08523999,0.0869,0.09406,0.08633333,0.10058
0.00011949999999999999,0.08448666,0.08614666,0.09319999,0.08563333,0.09975333
0.00011999999999999999,0.08521333,0.08611999,0.09322666,0.08631999,0.09975333
0.00012049999999999999,0.08452666,0.08687333,0.09406,0.08563333,0.10054
0.000121,0.08451333,0.08617333,0.09325333,0.08629332,0.1005267
0.0001215,0.08525333,0.0869,0.09408666,0.08571333,0.09985333
0.000122,0.08518666,0.08614666,0.09325333,0.08639999,0.09985333
0.0001225,0.08451333,0.08687333,0.09403332,0.08568666,0.1005667
0.00012299999999999998,0.08453999,0.0869,0.09326666,0.08629332,0.10062
0.0001235,0.08522666,0.08610666,0.09411333,0.08566,0.09982666
0.000124,0.0852,0.08614666,0.09326666,0.08566,0.09983999
0.0001245,0.08452666,0.0869,0.09408666,0.08633333,0.1005533
0.000125,0.08453999,0.0869,0.09409999,0.08563333,0.09990666
0.0001255,0.08525333,0.08610666,0.09328,0.08637333,0.1006067
0.000126,0.08526666,0.08684666,0.09329332,0.08630666,0.09989332
0.00012649999999999998,0.08451333,0.08610666,0.09406,0.08563333,0.10058
0.000127,0.08527999,0.08611999,0.09321333,0.08557999,0.09982666
0.00012749999999999998,0.08456666,0.08687333,0.09406,0.08626666,0.1005933
0.000128,0.08525333,0.08685999,0.09325333,0.08628,0.1005267
0.0001285,0.08459333,0.08607999,0.09406,0.08560666,0.09982666
0.000129,0.08521333,0.08609333,0.09322666,0.08564666,0.1005267
0.0001295,0.08455332,0.08684666,0.09404666,0.08626666,0.09978666
0.00013,0.08526666,0.08687333,0.09409999,0.08626666,0.10044
0.0001305,0.08449999,0.08607999,0.09321333,0.08557999,0.09975333
0.00013099999999999999,0.08456666,0.08606666,0.09403332,0.08631999,0.09967332
0.0001315,0.08529333,0.08685999,0.09323999,0.08561999,0.1004267
0.00013199999999999998,0.08531333,0.08684666,0.09322666,0.08557999,0.09960666
0.0001325,0.08455332,0.08609333,0.09407333,0.08621333,0.1004667
0.000133,0.08458,0.08684666,0.09407333,0.08555333,0.09965999
0.0001335,0.08526666,0.08602666,0.09316,0.08623999,0.1003867
0.000134,0.08523999,0.08688666,0.09321333,0.08623999,0.09961999
0.0001345,0.08448666,0.08602666,0.09401999,0.08556666,0.1004133
