Time (s),CH1 (V)
0.034543,4.948
0.034544,4.904
0.034545,5.092667
0.034546,4.926
0.034547,5.16
0.034547999999999995,4.904
0.034548999999999996,5.148666
0.03455,4.959333
0.034551,5.126
0.034552,4.870667
0.034553,5.137333
0.034554,4.904
0.034554999999999995,5.126
0.034555999999999996,5.170667
0.034557,4.970666
0.034558,4.959333
0.034559,5.16
0.03456,4.892667
0.034561,5.170667
0.034561999999999996,4.948
0.034562999999999997,5.126
0.034564,4.959333
0.034565,5.226666
0.034566,4.937333
0.034567,5.193333
0.034568,5.170667
0.034568999999999996,4.892667
0.03457,4.914667
0.034571,5.226666
0.034572,5.182
0.034573,4.926
0.034574,5.004
0.034575,5.148666
0.034575999999999996,5.104
0.034577,4.904
0.034578,5.215333
0.034579,4.937333
0.03458,4.948
0.034581,5.204
0.034582,5.170667
0.034582999999999996,4.870667
0.034584,4.904
0.034585,5.170667
0.034586,5.126
0.034587,4.959333
0.034588,4.959333
0.034589,5.193333
0.034589999999999996,4.959333
0.034591,5.170667
0.034592,5.16
0.034593,4.948
0.034594,5.193333
0.034595,4.881333
0.034596,5.182
0.034596999999999996,4.904
0.034598,5.092667
0.034599,4.926
0.0346,5.015333
0.034601,-5.030667
0.034602,-4.842
0.034603,-5.142
0.034603999999999996,-4.864
0.034605,-5.075333
0.034606,-5.12
0.034607,-4.942
0.034608,-4.886
0.034609,-5.130667
0.03461,-5.12
0.034610999999999996,-4.964
0.034612,-5.130667
0.034613,-4.942
0.034614,-4.919333
0.034615,-5.142
0.034616,-4.952667
0.034616999999999995,-5.175333
0.034617999999999996,-5.064
0.034619,-4.886
0.03462,-5.108666
0.034621,-4.819333
0.034622,-4.897333
0.034623,-5.097333
0.034623999999999995,-4.919333
0.034624999999999996,-5.12
0.034626,-5.12
0.034627,-4.886
0.034628,-4.930666
0.034629,-5.086667
0.03463,-5.12
0.034630999999999995,-4.886
0.034631999999999996,-4.875333
0.034633,-5.086667
0.034634,-5.086667
0.034635,-4.897333
0.034636,-5.075333
0.034637,-4.842
0.034637999999999995,-4.919333
0.034638999999999996,-5.075333
0.03464,-5.130667
0.034641,-4.864
0.034642,-5.086667
0.034643,-4.842
0.034644,-4.886
0.034644999999999995,-5.064
0.034645999999999996,-4.852666
0.034647,-5.075333
0.034648,-4.919333
0.034649,-5.086667
0.03465,-5.097333
0.034651,-4.864
0.034651999999999995,-5.02
0.034652999999999996,-4.819333
0.034654,-5.075333
0.034655,-4.886
0.034656,-4.864
0.034657,-5.12
0.034658,-5.153333
0.034658999999999995,-4.886
0.034659999999999996,-4.819333
0.034661,-5.064
0.034662,-4.919333
0.034663,-5.064
0.034664,-5.097333
0.034665,-4.908667
0.034665999999999995,-4.886
0.034666999999999996,-5.086667
0.034668,-5.108666
0.034669,-4.886
0.03467,-4.864
0.034671,-5.108666
0.034672,-4.875333
0.034672999999999995,-5.053333
0.034673999999999996,-5.053333
0.034675,-4.875333
0.034676,-4.808
0.034677,-5.108666
0.034678,-4.886
0.034679,-5.086667
0.034679999999999996,-5.208667
0.034681,-4.908667
0.034682,-5.075333
0.034683,-4.808
0.034684,-4.908667
0.034685,-5.130667
0.034686,-4.875333
0.034686999999999996,-5.108666
0.034688,-4.897333
0.034689,-5.12
0.03469,-5.064
0.034691,-4.852666
0.034692,-4.842
0.034693,-5.086667
0.034693999999999996,-4.852666
0.034695,-5.12
0.034696,-5.042
0.034697,-4.830667
0.034698,-5.053333
0.034699,-4.864
0.0347,-4.919333
0.034700999999999996,5.148666
0.034702,5.004
0.034703,5.126
0.034704,4.982
0.034705,5.193333
