Time (s),no_pump,no_pump,pump_1552.4425nm,pump_1552.4425nm,no_pump,no_pump,pump_1552.2nm,pump_1552.2nm,pump_1552.6nm,pump_1552.6nm
0.00795,0.12664574,0.12664574,0.14715441999999998,0.14715441999999998,0.13011148,0.13011148,0.13413157999999997,0.13413157999999997,0.13412254,0.13412254
0.00796,0.12656051999999998,0.12656051999999998,0.14719785999999999,0.14719785999999999,0.1301952,0.1301952,0.13423588,0.13423588,0.13419626,0.13419626
0.007970000000000001,0.1248385,0.1248385,0.14766256000000003,0.14766256000000003,0.13221198000000003,0.13221198000000003,0.13585252,0.13585252,0.13563,0.13563
0.007980000000000001,0.12473467999999999,0.12473467999999999,0.14765319999999998,0.14765319999999998,0.1323269,0.1323269,0.13596414,0.13596414,0.13570386,0.13570386
0.00799,0.12296186,0.12296186,0.14806548,0.14806548,0.13435598,0.13435598,0.13823452,0.13823452,0.13716732,0.13716732
0.008,0.1228972,0.1228972,0.14809186000000002,0.14809186000000002,0.13450025999999998,0.13450025999999998,0.1383696,0.1383696,0.13733264,0.13733264
0.008010000000000001,0.12134251999999998,0.12134251999999998,0.1484872,0.1484872,0.13539894000000002,0.13539894000000002,0.14081797999999998,0.14081797999999998,0.1372992,0.1372992
0.008020000000000001,0.12125612000000001,0.12125612000000001,0.14850960000000002,0.14850960000000002,0.13547748,0.13547748,0.14093998000000002,0.14093998000000002,0.13726599999999997,0.13726599999999997
0.00803,0.11989025999999998,0.11989025999999998,0.14878345999999998,0.14878345999999998,0.13427708,0.13427708,0.143334,0.143334,0.13636732000000001,0.13636732000000001
0.00804,0.1198256,0.1198256,0.14879346,0.14879346,0.13417346000000002,0.13417346000000002,0.14344452000000002,0.14344452000000002,0.13633453999999998,0.13633453999999998
0.00805,0.1188908,0.1188908,0.14894894,0.14894894,0.13229107999999998,0.13229107999999998,0.14555026,0.14555026,0.13527532,0.13527532
0.008060000000000001,0.11889132,0.11889132,0.14895586,0.14895586,0.13217732,0.13217732,0.14570518,0.14570518,0.13518148,0.13518148
0.00807,0.11902905999999999,0.11902905999999999,0.14896946,0.14896946,0.1303148,0.1303148,0.14569108,0.14569108,0.13385402,0.13385402
0.00808,0.11911186,0.11911186,0.14896294000000002,0.14896294000000002,0.13021,0.13021,0.145574,0.145574,0.13377692000000002,0.13377692000000002
0.00809,0.12030041999999999,0.12030041999999999,0.14846347999999998,0.14846347999999998,0.12847572,0.12847572,0.14334708000000002,0.14334708000000002,0.13255734000000002,0.13255734000000002
0.008100000000000001,0.12042131999999998,0.12042131999999998,0.14845224,0.14845224,0.12839932,0.12839932,0.14322906,0.14322906,0.13247988,0.13247988
0.008110000000000001,0.12218906,0.12218906,0.14810956000000003,0.14810956000000003,0.12679933999999998,0.12679933999999998,0.14099402,0.14099402,0.13144212,0.13144212
0.00812,0.12227305999999998,0.12227305999999998,0.1480592,0.1480592,0.12670308000000002,0.12670308000000002,0.14089852,0.14089852,0.13134388000000002,0.13134388000000002
0.00813,0.1241992,0.1241992,0.14774853999999998,0.14774853999999998,0.12561573999999998,0.12561573999999998,0.13885972,0.13885972,0.1308796,0.1308796
0.008140000000000001,0.12430398000000001,0.12430398000000001,0.14775306,0.14775306,0.12558934000000002,0.12558934000000002,0.13874224,0.13874224,0.13091586,0.13091586
